"state","puma2k","cbsa10","stab","cbsaname10","PUMA2kName","pop10","afact"
"FIPS state","puma2k","cbsa10","State Postal Code","2010 CBSA Name","PUMA 2K Name","Total Pop, 2010 census","puma2k to cbsa10 alloc factor"
"04","00105","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400105",175214,1 
"04","00106","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400106",100162,1 
"04","00107","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400107",140319,1 
"04","00108","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400108",113505,1 
"04","00109","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400109",171054,1 
"04","00110","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400110",338420,1 
"04","00111","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400111",181865,1 
"04","00112","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400112",155562,1 
"04","00113","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400113",98693,1 
"04","00114","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400114",197491,1 
"04","00115","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400115",143054,1 
"04","00116","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400116",165987,1 
"04","00117","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400117",138735,1 
"04","00118","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400118",170511,1 
"04","00119","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400119",156232,1 
"04","00120","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400120",252488,1 
"04","00121","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400121",245791,1 
"04","00122","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400122",143192,1 
"04","00201","46060","AZ","Tucson, AZ Metropolitan Statistical Area","0400201",139800,1 
"04","00202","46060","AZ","Tucson, AZ Metropolitan Statistical Area","0400202",104157,1 
"04","00203","46060","AZ","Tucson, AZ Metropolitan Statistical Area","0400203",104334,1 
"04","00204","46060","AZ","Tucson, AZ Metropolitan Statistical Area","0400204",139816,1 
"04","00205","46060","AZ","Tucson, AZ Metropolitan Statistical Area","0400205",120267,1 
"04","00206","46060","AZ","Tucson, AZ Metropolitan Statistical Area","0400206",150579,1 
"04","00207","46060","AZ","Tucson, AZ Metropolitan Statistical Area","0400207",221310,1 
"04","00300","43320","AZ","Show Low, AZ Micropolitan Statistical Area","0400300",107449,0.6 
"04","00300","99999","AZ","99999","0400300",71518,0.4 
"04","00400","22380","AZ","Flagstaff, AZ Metropolitan Statistical Area","0400400",134421,1 
"04","00500","39140","AZ","Prescott, AZ Metropolitan Statistical Area","0400500",211033,1 
"04","00600","29420","AZ","Lake Havasu City-Kingman, AZ Metropolitan Statistical Area","0400600",200186,0.907 
"04","00600","99999","AZ","99999","0400600",20489,0.093 
"04","00700","49740","AZ","Yuma, AZ Metropolitan Statistical Area","0400700",195751,1 
"04","00800","37740","AZ","Payson, AZ Micropolitan Statistical Area","0400800",53597,0.125 
"04","00800","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400800",375770,0.875 
"04","00900","35700","AZ","Nogales, AZ Micropolitan Statistical Area","0400900",47420,0.211 
"04","00900","40940","AZ","Safford, AZ Micropolitan Statistical Area","0400900",45657,0.203 
"04","00900","43420","AZ","Sierra Vista-Douglas, AZ Micropolitan Statistical Area","0400900",131346,0.585 
"05","00100","22220","AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area","0500100",221432,1 
"05","00200","22220","AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area","0500200",202972,1 
"05","00300","22220","AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area","0500300",15717,0.102 
"05","00300","25460","AR","Harrison, AR Micropolitan Statistical Area","0500300",45233,0.292 
"05","00300","34260","AR","Mountain Home, AR Micropolitan Statistical Area","0500300",41513,0.268 
"05","00300","99999","AR","99999","0500300",52294,0.338 
"05","00400","12900","AR","Batesville, AR Micropolitan Statistical Area","0500400",36647,0.27 
"05","00400","99999","AR","99999","0500400",98862,0.73 
"05","00500","27860","AR","Jonesboro, AR Metropolitan Statistical Area","0500500",96443,0.508 
"05","00500","37500","AR","Paragould, AR Micropolitan Statistical Area","0500500",42090,0.222 
"05","00500","99999","AR","99999","0500500",51467,0.271 
"05","00600","14180","AR","Blytheville, AR Micropolitan Statistical Area","0500600",46480,0.477 
"05","00600","32820","AR","Memphis, TN-MS-AR Metropolitan Statistical Area","0500600",50902,0.523 
"05","00700","22620","AR","Forrest City, AR Micropolitan Statistical Area","0500700",28258,0.275 
"05","00700","25760","AR","Helena-West Helena, AR Micropolitan Statistical Area","0500700",21757,0.211 
"05","00700","27860","AR","Jonesboro, AR Metropolitan Statistical Area","0500700",24583,0.239 
"05","00700","99999","AR","99999","0500700",28294,0.275 
"05","00800","42620","AR","Searcy, AR Micropolitan Statistical Area","0500800",77076,0.647 
"05","00800","99999","AR","99999","0500800",42121,0.353 
"05","00900","30780","AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","0500900",192506,1 
"05","01000","30780","AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","0501000",190242,1 
"05","01100","30780","AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","0501100",288711,1 
"05","01200","30780","AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","0501200",10445,0.074 
"05","01200","40780","AR","Russellville, AR Micropolitan Statistical Area","0501200",83939,0.594 
"05","01200","99999","AR","99999","0501200",46815,0.332 
"05","01300","22900","AR","Fort Smith, AR-OK Metropolitan Statistical Area","0501300",187692,1 
"05","01400","22900","AR","Fort Smith, AR-OK Metropolitan Statistical Area","0501400",18125,0.176 
"05","01400","99999","AR","99999","0501400",85091,0.824 
"05","01500","11660","AR","Arkadelphia, AR Micropolitan Statistical Area","0501500",22995,0.142 
"05","01500","26300","AR","Hot Springs, AR Metropolitan Statistical Area","0501500",96024,0.595 
"05","01500","99999","AR","99999","0501500",42414,0.263 
"05","01600","30780","AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","0501600",17853,0.156 
"05","01600","38220","AR","Pine Bluff, AR Metropolitan Statistical Area","0501600",77435,0.677 
"05","01600","99999","AR","99999","0501600",19019,0.166 
"05","01700","38220","AR","Pine Bluff, AR Metropolitan Statistical Area","0501700",22823,0.229 
"05","01700","99999","AR","99999","0501700",76678,0.771 
"05","01800","15780","AR","Camden, AR Micropolitan Statistical Area","0501800",31488,0.298 
"05","01800","20980","AR","El Dorado, AR Micropolitan Statistical Area","0501800",41639,0.394 
"05","01800","31620","AR","Magnolia, AR Micropolitan Statistical Area","0501800",24552,0.232 
"05","01800","99999","AR","99999","0501800",8116,0.077 
"05","01900","26260","AR","Hope, AR Micropolitan Statistical Area","0501900",31606,0.295 
"05","01900","45500","AR","Texarkana, TX-Texarkana, AR Metropolitan Statistical Area","0501900",43462,0.406 
"05","01900","99999","AR","99999","0501900",32107,0.3 
"06","00100","18860","CA","Crescent City, CA Micropolitan Statistical Area","0600100",28610,0.242 
"06","00100","45000","CA","Susanville, CA Micropolitan Statistical Area","0600100",34895,0.295 
"06","00100","99999","CA","99999","0600100",54586,0.462 
"06","00200","21700","CA","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area","0600200",134623,1 
"06","00300","39820","CA","Redding, CA Metropolitan Statistical Area","0600300",177223,1 
"06","00400","17340","CA","Clearlake, CA Micropolitan Statistical Area","0600400",64665,0.424 
"06","00400","46380","CA","Ukiah, CA Micropolitan Statistical Area","0600400",87841,0.576 
"06","00500","39780","CA","Red Bluff, CA Micropolitan Statistical Area","0600500",63463,0.501 
"06","00500","99999","CA","99999","0600500",63327,0.499 
"06","00600","17020","CA","Chico, CA Metropolitan Statistical Area","0600600",220000,1 
"06","00600","49700","CA","Yuba City, CA Metropolitan Statistical Area","0600600",6,0 
"06","00700","46020","CA","Truckee-Grass Valley, CA Micropolitan Statistical Area","0600700",98764,0.809 
"06","00700","99999","CA","99999","0600700",23247,0.191 
"06","00800","49700","CA","Yuba City, CA Metropolitan Statistical Area","0600800",166886,1 
"06","00900","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0600900",200849,1 
"06","01000","34900","CA","Napa, CA Metropolitan Statistical Area","0601000",136484,1 
"06","01101","42220","CA","Santa Rosa-Petaluma, CA Metropolitan Statistical Area","0601101",179083,1 
"06","01102","42220","CA","Santa Rosa-Petaluma, CA Metropolitan Statistical Area","0601102",120153,1 
"06","01103","42220","CA","Santa Rosa-Petaluma, CA Metropolitan Statistical Area","0601103",184642,1 
"06","01201","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0601201",104847,1 
"06","01202","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0601202",147562,1 
"06","01301","46700","CA","Vallejo-Fairfield, CA Metropolitan Statistical Area","0601301",144838,1 
"06","01302","46700","CA","Vallejo-Fairfield, CA Metropolitan Statistical Area","0601302",138815,1 
"06","01303","46700","CA","Vallejo-Fairfield, CA Metropolitan Statistical Area","0601303",129691,1 
"06","01401","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601401",186984,1 
"06","01402","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601402",105208,1 
"06","01403","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601403",174301,1 
"06","01501","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601501",143011,1 
"06","01502","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601502",105079,1 
"06","01503","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601503",168306,1 
"06","01504","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601504",165825,1 
"06","01505","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601505",183471,1 
"06","01506","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601506",185647,1 
"06","01601","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601601",186452,1 
"06","01602","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601602",161980,1 
"06","01700","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","0601700",182014,1 
"06","01800","13860","CA","Bishop, CA Micropolitan Statistical Area","0601800",18546,0.097 
"06","01800","38020","CA","Phoenix Lake-Cedar Ridge, CA Micropolitan Statistical Area","0601800",55365,0.29 
"06","01800","99999","CA","99999","0601800",117297,0.613 
"06","01901","44700","CA","Stockton, CA Metropolitan Statistical Area","0601901",124458,1 
"06","01902","44700","CA","Stockton, CA Metropolitan Statistical Area","0601902",156231,1 
"06","02001","44700","CA","Stockton, CA Metropolitan Statistical Area","0602001",215009,1 
"06","02002","44700","CA","Stockton, CA Metropolitan Statistical Area","0602002",189608,1 
"06","02101","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602101",130739,1 
"06","02102","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602102",120159,1 
"06","02103","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602103",107787,1 
"06","02104","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602104",148894,1 
"06","02105","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602105",142158,1 
"06","02106","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602106",130308,1 
"06","02107","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602107",110096,1 
"06","02108","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602108",158884,1 
"06","02201","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602201",136936,1 
"06","02202","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602202",107027,1 
"06","02203","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602203",129066,1 
"06","02204","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602204",106640,1 
"06","02205","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602205",105336,1 
"06","02206","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602206",110830,1 
"06","02207","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602207",109400,1 
"06","02301","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602301",137233,1 
"06","02302","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602302",117476,1 
"06","02303","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602303",104209,1 
"06","02304","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602304",118650,1 
"06","02305","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602305",127316,1 
"06","02306","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602306",113567,1 
"06","02401","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602401",131119,1 
"06","02402","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602402",158091,1 
"06","02403","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602403",125220,1 
"06","02404","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602404",124572,1 
"06","02405","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602405",163570,1 
"06","02406","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602406",134761,1 
"06","02407","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602407",145655,1 
"06","02408","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602408",135402,1 
"06","02409","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602409",189764,1 
"06","02410","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","0602410",202117,1 
"06","02500","33700","CA","Modesto, CA Metropolitan Statistical Area","0602500",201896,1 
"06","02601","33700","CA","Modesto, CA Metropolitan Statistical Area","0602601",165263,1 
"06","02602","33700","CA","Modesto, CA Metropolitan Statistical Area","0602602",147294,1 
"06","02701","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602701",195320,1 
"06","02702","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602702",144475,1 
"06","02703","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602703",128678,1 
"06","02704","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602704",128989,1 
"06","02705","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602705",106040,1 
"06","02706","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602706",114473,1 
"06","02707","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602707",132926,1 
"06","02708","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602708",130316,1 
"06","02709","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602709",121804,1 
"06","02710","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602710",157311,1 
"06","02711","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602711",103766,1 
"06","02712","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602712",105312,1 
"06","02713","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602713",116147,1 
"06","02714","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0602714",96085,1 
"06","02801","42100","CA","Santa Cruz-Watsonville, CA Metropolitan Statistical Area","0602801",126912,1 
"06","02802","42100","CA","Santa Cruz-Watsonville, CA Metropolitan Statistical Area","0602802",135470,1 
"06","02900","41500","CA","Salinas, CA Metropolitan Statistical Area","0602900",148111,1 
"06","03001","41500","CA","Salinas, CA Metropolitan Statistical Area","0603001",122923,1 
"06","03002","41500","CA","Salinas, CA Metropolitan Statistical Area","0603002",144023,0.723 
"06","03002","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","0603002",55269,0.277 
"06","03100","32900","CA","Merced, CA Metropolitan Statistical Area","0603100",255366,1 
"06","03200","31460","CA","Madera-Chowchilla, CA Metropolitan Statistical Area","0603200",150865,1 
"06","03301","23420","CA","Fresno, CA Metropolitan Statistical Area","0603301",328153,1 
"06","03302","23420","CA","Fresno, CA Metropolitan Statistical Area","0603302",150213,1 
"06","03401","23420","CA","Fresno, CA Metropolitan Statistical Area","0603401",162448,0.997 
"06","03401","32900","CA","Merced, CA Metropolitan Statistical Area","0603401",427,0.003 
"06","03402","23420","CA","Fresno, CA Metropolitan Statistical Area","0603402",289636,1 
"06","03501","47300","CA","Visalia-Porterville, CA Metropolitan Statistical Area","0603501",135978,1 
"06","03502","47300","CA","Visalia-Porterville, CA Metropolitan Statistical Area","0603502",143634,1 
"06","03503","47300","CA","Visalia-Porterville, CA Metropolitan Statistical Area","0603503",162567,1 
"06","03600","25260","CA","Hanford-Corcoran, CA Metropolitan Statistical Area","0603600",152982,1 
"06","03701","42020","CA","San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area","0603701",129190,1 
"06","03702","42020","CA","San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area","0603702",140447,1 
"06","03800","12540","CA","Bakersfield-Delano, CA Metropolitan Statistical Area","0603800",329850,1 
"06","03901","12540","CA","Bakersfield-Delano, CA Metropolitan Statistical Area","0603901",154390,1 
"06","03902","12540","CA","Bakersfield-Delano, CA Metropolitan Statistical Area","0603902",172834,1 
"06","03903","12540","CA","Bakersfield-Delano, CA Metropolitan Statistical Area","0603903",182540,1 
"06","04000","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604000",163924,1 
"06","04100","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604100",161094,1 
"06","04200","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604200",175781,1 
"06","04300","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604300",206735,1 
"06","04401","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604401",164434,1 
"06","04402","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604402",115158,1 
"06","04403","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604403",225329,1 
"06","04404","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604404",219704,1 
"06","04405","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604405",174475,1 
"06","04406","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0604406",2,0 
"06","04406","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604406",262989,1 
"06","04407","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","0604407",165544,1 
"06","04500","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0604500",156585,1 
"06","04600","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0604600",151935,1 
"06","04700","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0604700",164698,1 
"06","04800","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0604800",103325,1 
"06","04900","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0604900",191757,1 
"06","05000","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0605000",137243,1 
"06","05100","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0605100",113487,1 
"06","05200","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0605200",149115,1 
"06","05300","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0605300",124904,1 
"06","05401","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0605401",174788,1 
"06","05402","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0605402",138655,1 
"06","05403","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0605403",127853,1 
"06","05404","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0605404",136386,1 
"06","05405","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","0605405",134858,1 
