cbsa,county14,county,cntyname2,cbsaname15,pop10,afact
31140,18043, ,Floyd IN,"Louisville/Jefferson County, KY-IN (Metro)",74578,0.06
31140,18061, ,Harrison IN,"Louisville/Jefferson County, KY-IN (Metro)",39364,0.032
31140,18143, ,Scott IN,"Louisville/Jefferson County, KY-IN (Metro)",24181,0.02
31140,18175, ,Washington IN,"Louisville/Jefferson County, KY-IN (Metro)",28262,0.023
31140,21029, ,Bullitt KY,"Louisville/Jefferson County, KY-IN (Metro)",74319,0.06
31140,21103, ,Henry KY,"Louisville/Jefferson County, KY-IN (Metro)",15416,0.012
31140,21111, ,Jefferson KY,"Louisville/Jefferson County, KY-IN (Metro)",741096,0.6
31140,21185, ,Oldham KY,"Louisville/Jefferson County, KY-IN (Metro)",60316,0.049
31140,21211, ,Shelby KY,"Louisville/Jefferson County, KY-IN (Metro)",42074,0.034
31140,21215, ,Spencer KY,"Louisville/Jefferson County, KY-IN (Metro)",17061,0.014
31140,21223, ,Trimble KY,"Louisville/Jefferson County, KY-IN (Metro)",8809,0.007
31180,48107, ,Crosby TX,"Lubbock, TX (Metro)",6059,0.021
31180,48303, ,Lubbock TX,"Lubbock, TX (Metro)",278831,0.959
31180,48305, ,Lynn TX,"Lubbock, TX (Metro)",5915,0.02
31220,26105, ,Mason MI,"Ludington, MI (Micro)",28705,1
31260,48005, ,Angelina TX,"Lufkin, TX (Micro)",86771,1
31300,37155, ,Robeson NC,"Lumberton, NC (Micro)",134168,1
31340,51009, ,Amherst VA,"Lynchburg, VA (Metro)",32353,0.128
31340,51011, ,Appomattox VA,"Lynchburg, VA (Metro)",14973,0.059
31340,51019, ,Bedford VA  (R),"Lynchburg, VA (Metro)",74898,0.296
31340,51031, ,Campbell VA,"Lynchburg, VA (Metro)",54842,0.217
31340,51680, ,Lynchburg city VA,"Lynchburg, VA (Metro)",75568,0.299
31380,17109, ,McDonough IL,"Macomb, IL (Micro)",32612,1
31420,13021, ,Bibb GA,"Macon-Bibb County, GA (Metro)",155547,0.67
31420,13079, ,Crawford GA,"Macon-Bibb County, GA (Metro)",12630,0.054
31420,13169, ,Jones GA,"Macon-Bibb County, GA (Metro)",28669,0.123
31420,13207, ,Monroe GA,"Macon-Bibb County, GA (Metro)",26424,0.114
31420,13289, ,Twiggs GA,"Macon-Bibb County, GA (Metro)",9023,0.039
31460,6039, ,Madera CA,"Madera, CA (Metro)",150865,1
31500,18077, ,Jefferson IN,"Madison, IN (Micro)",32428,1
31540,55021, ,Columbia WI,"Madison, WI (Metro)",56833,0.094
31540,55025, ,Dane WI,"Madison, WI (Metro)",488073,0.806
31540,55045, ,Green WI,"Madison, WI (Metro)",36842,0.061
31540,55049, ,Iowa WI,"Madison, WI (Metro)",23687,0.039
31580,21107, ,Hopkins KY,"Madisonville, KY (Micro)",46920,1
31620,5027, ,Columbia AR,"Magnolia, AR (Micro)",24552,1
31660,36033, ,Franklin NY,"Malone, NY (Micro)",51599,1
31680,5059, ,Hot Spring AR,"Malvern, AR (Micro)",32923,1
31700,33011, ,Hillsborough NH,"Manchester-Nashua, NH (Metro)",400721,1
31740,20149, ,Pottawatomie KS,"Manhattan, KS (Metro)",21604,0.233
31740,20161, ,Riley KS,"Manhattan, KS (Metro)",71115,0.767
31820,55071, ,Manitowoc WI,"Manitowoc, WI (Micro)",81442,1
31860,27013, ,Blue Earth MN,"Mankato-North Mankato, MN (Metro)",64013,0.662
31860,27103, ,Nicollet MN,"Mankato-North Mankato, MN (Metro)",32727,0.338
31900,39139, ,Richland OH,"Mansfield, OH (Metro)",124475,1
31930,39167, ,Washington OH,"Marietta, OH (Micro)",61778,1
31940,26109, ,Menominee MI,"Marinette, WI-MI (Micro)",24029,0.365
31940,55075, ,Marinette WI,"Marinette, WI-MI (Micro)",41749,0.635
31980,18053, ,Grant IN,"Marion, IN (Micro)",70061,1
32000,37111, ,McDowell NC,"Marion, NC (Micro)",44996,1
32020,39101, ,Marion OH,"Marion, OH (Micro)",66501,1
32100,26103, ,Marquette MI,"Marquette, MI (Micro)",67077,1
32140,27083, ,Lyon MN,"Marshall, MN (Micro)",25857,1
32180,29195, ,Saline MO,"Marshall, MO (Micro)",23370,1
32220,48203, ,Harrison TX,"Marshall, TX (Micro)",65631,1
32260,19127, ,Marshall IA,"Marshalltown, IA (Micro)",40648,1
32280,47183, ,Weakley TN,"Martin, TN (Micro)",35021,1
32300,51089, ,Henry VA,"Martinsville, VA (Micro)",54151,0.797
32300,51690, ,Martinsville city VA,"Martinsville, VA (Micro)",13821,0.203
32340,29147, ,Nodaway MO,"Maryville, MO (Micro)",23370,1
32380,19033, ,Cerro Gordo IA,"Mason City, IA (Micro)",44151,0.853
32380,19195, ,Worth IA,"Mason City, IA (Micro)",7598,0.147
32460,21083, ,Graves KY,"Mayfield, KY (Micro)",37121,1
32500,21161, ,Mason KY,"Maysville, KY (Micro)",17490,1
32540,40121, ,Pittsburg OK,"McAlester, OK (Micro)",45837,1
32580,48215, ,Hidalgo TX,"McAllen-Edinburg-Mission, TX (Metro)",774769,1
32620,28005, ,Amite MS,"McComb, MS (Micro)",13131,0.245
32620,28113, ,Pike MS,"McComb, MS (Micro)",40404,0.755
32660,47177, ,Warren TN,"McMinnville, TN (Micro)",39839,1
32700,20113, ,McPherson KS,"McPherson, KS (Micro)",29180,1
32740,42039, ,Crawford PA,"Meadville, PA (Micro)",88765,1
32780,41029, ,Jackson OR,"Medford, OR (Metro)",203206,1
32820,5035, ,Crittenden AR,"Memphis, TN-MS-AR (Metro)",50902,0.038
32820,28009, ,Benton MS,"Memphis, TN-MS-AR (Metro)",8729,0.007
32820,28033, ,DeSoto MS,"Memphis, TN-MS-AR (Metro)",161252,0.122
32820,28093, ,Marshall MS,"Memphis, TN-MS-AR (Metro)",37144,0.028
32820,28137, ,Tate MS,"Memphis, TN-MS-AR (Metro)",28886,0.022
32820,28143, ,Tunica MS,"Memphis, TN-MS-AR (Metro)",10778,0.008
32820,47047, ,Fayette TN,"Memphis, TN-MS-AR (Metro)",38413,0.029
32820,47157, ,Shelby TN,"Memphis, TN-MS-AR (Metro)",927644,0.7
32820,47167, ,Tipton TN,"Memphis, TN-MS-AR (Metro)",61081,0.046
32860,55033, ,Dunn WI,"Menomonie, WI (Micro)",43857,1
32900,6047, ,Merced CA,"Merced, CA (Metro)",255793,1
32940,28023, ,Clarke MS,"Meridian, MS (Micro)",16732,0.156
32940,28069, ,Kemper MS,"Meridian, MS (Micro)",10456,0.097
32940,28075, ,Lauderdale MS,"Meridian, MS (Micro)",80261,0.747
32980,55069, ,Lincoln WI,"Merrill, WI (Micro)",28743,1
33020,29007, ,Audrain MO,"Mexico, MO (Micro)",25529,1
33060,40115, ,Ottawa OK,"Miami, OK (Micro)",31848,1
33100,12011, ,Broward FL,"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",1748066,0.314
33100,12086, ,Miami-Dade FL,"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",2496435,0.449
33100,12099, ,Palm Beach FL,"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",1320134,0.237
33140,18091, ,La Porte IN,"Michigan City-La Porte, IN (Metro)",111467,1
33180,21013, ,Bell KY,"Middlesborough, KY (Micro)",28691,1
33220,26111, ,Midland MI,"Midland, MI (Metro)",83629,1
33260,48317, ,Martin TX,"Midland, TX (Metro)",4799,0.034
33260,48329, ,Midland TX,"Midland, TX (Metro)",136872,0.966
33300,13009, ,Baldwin GA,"Milledgeville, GA (Micro)",45720,0.829
33300,13141, ,Hancock GA,"Milledgeville, GA (Micro)",9429,0.171
33340,55079, ,Milwaukee WI,"Milwaukee-Waukesha-West Allis, WI (Metro)",947735,0.609
33340,55089, ,Ozaukee WI,"Milwaukee-Waukesha-West Allis, WI (Metro)",86395,0.056
33340,55131, ,Washington WI,"Milwaukee-Waukesha-West Allis, WI (Metro)",131887,0.085
33340,55133, ,Waukesha WI,"Milwaukee-Waukesha-West Allis, WI (Metro)",389891,0.251
33420,48363, ,Palo Pinto TX,"Mineral Wells, TX (Micro)",28111,1
33460,27003, ,Anoka MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",330844,0.099
33460,27019, ,Carver MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",91042,0.027
33460,27025, ,Chisago MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",53887,0.016
33460,27037, ,Dakota MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",398552,0.119
33460,27053, ,Hennepin MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",1152425,0.344
33460,27059, ,Isanti MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",37816,0.011
33460,27079, ,Le Sueur MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",27703,0.008
33460,27095, ,Mille Lacs MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",26097,0.008
33460,27123, ,Ramsey MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",508640,0.152
33460,27139, ,Scott MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",129928,0.039
33460,27141, ,Sherburne MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",88499,0.026
33460,27143, ,Sibley MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",15226,0.005
33460,27163, ,Washington MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",238136,0.071
33460,27171, ,Wright MN,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",124700,0.037
33460,55093, ,Pierce WI,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",41019,0.012
33460,55109, ,St. Croix WI,"Minneapolis-St. Paul-Bloomington, MN-WI (Metro)",84345,0.025
33500,38049, ,McHenry ND,"Minot, ND (Micro)",5395,0.078
33500,38075, ,Renville ND,"Minot, ND (Micro)",2470,0.036
33500,38101, ,Ward ND,"Minot, ND (Micro)",61675,0.887
33540,30063, ,Missoula MT,"Missoula, MT (Metro)",109299,1
33580,46035, ,Davison SD,"Mitchell, SD (Micro)",19504,0.854
33580,46061, ,Hanson SD,"Mitchell, SD (Micro)",3331,0.146
33620,29175, ,Randolph MO,"Moberly, MO (Micro)",25414,1
33660,1097, ,Mobile AL,"Mobile, AL (Metro)",412992,1
33700,6099, ,Stanislaus CA,"Modesto, CA (Metro)",514453,1
33740,22073, ,Ouachita Parish LA,"Monroe, LA (Metro)",153720,0.871
33740,22111, ,Union Parish LA,"Monroe, LA (Metro)",22721,0.129
33780,26115, ,Monroe MI,"Monroe, MI (Metro)",152021,1
33860,1001, ,Autauga AL,"Montgomery, AL (Metro)",54571,0.146
33860,1051, ,Elmore AL,"Montgomery, AL (Metro)",79303,0.212
33860,1085, ,Lowndes AL,"Montgomery, AL (Metro)",11299,0.03
33860,1101, ,Montgomery AL,"Montgomery, AL (Metro)",229363,0.612
33940,8085, ,Montrose CO,"Montrose, CO (Micro)",41276,1
33980,37031, ,Carteret NC,"Morehead City, NC (Micro)",66469,1
34020,22101, ,St. Mary Parish LA,"Morgan City, LA (Micro)",54650,1
34060,54061, ,Monongalia WV,"Morgantown, WV (Metro)",96189,0.742
34060,54077, ,Preston WV,"Morgantown, WV (Metro)",33520,0.258
34100,47063, ,Hamblen TN,"Morristown, TN (Metro)",62544,0.549
34100,47089, ,Jefferson TN,"Morristown, TN (Metro)",51407,0.451
34140,16057, ,Latah ID,"Moscow, ID (Micro)",37244,1
34180,53025, ,Grant WA,"Moses Lake, WA (Micro)",89120,1
34220,13071, ,Colquitt GA,"Moultrie, GA (Micro)",45498,1
34260,5005, ,Baxter AR,"Mountain Home, AR (Micro)",41513,1
34300,16039, ,Elmore ID,"Mountain Home, ID (Micro)",27038,1
34340,37171, ,Surry NC,"Mount Airy, NC (Micro)",73673,1
34380,26073, ,Isabella MI,"Mount Pleasant, MI (Micro)",70311,1
34420,48449, ,Titus TX,"Mount Pleasant, TX (Micro)",32334,1
34460,21011, ,Bath KY,"Mount Sterling, KY (Micro)",11591,0.261
34460,21165, ,Menifee KY,"Mount Sterling, KY (Micro)",6306,0.142
34460,21173, ,Montgomery KY,"Mount Sterling, KY (Micro)",26499,0.597
34500,17081, ,Jefferson IL,"Mount Vernon, IL (Micro)",38827,1
34540,39083, ,Knox OH,"Mount Vernon, OH (Micro)",60921,1
34580,53057, ,Skagit WA,"Mount Vernon-Anacortes, WA (Metro)",116901,1
34620,18035, ,Delaware IN,"Muncie, IN (Metro)",117671,1
34660,21035, ,Calloway KY,"Murray, KY (Micro)",37191,1
34700,19139, ,Muscatine IA,"Muscatine, IA (Micro)",42745,1
34740,26121, ,Muskegon MI,"Muskegon, MI (Metro)",172188,1
34780,40101, ,Muskogee OK,"Muskogee, OK (Micro)",70990,1
34820,37019, ,Brunswick NC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metro)",107431,0.285
34820,45051, ,Horry SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metro)",269291,0.715
34860,48347, ,Nacogdoches TX,"Nacogdoches, TX (Micro)",64524,1
34900,6055, ,Napa CA,"Napa, CA (Metro)",136484,1
34940,12021, ,Collier FL,"Naples-Immokalee-Marco Island, FL (Metro)",321520,1
34980,47015, ,Cannon TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",13801,0.008
34980,47021, ,Cheatham TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",39105,0.023
34980,47037, ,Davidson TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",626681,0.375
34980,47043, ,Dickson TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",49666,0.03
34980,47081, ,Hickman TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",24690,0.015
34980,47111, ,Macon TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",22248,0.013
34980,47119, ,Maury TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",80956,0.048
34980,47147, ,Robertson TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",66283,0.04
34980,47149, ,Rutherford TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",262604,0.157
34980,47159, ,Smith TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",19166,0.011
34980,47165, ,Sumner TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",160645,0.096
34980,47169, ,Trousdale TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",7870,0.005
34980,47187, ,Williamson TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",183182,0.11
34980,47189, ,Wilson TN,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metro)",113993,0.068
35020,22029, ,Concordia Parish LA,"Natchez, MS-LA (Micro)",20822,0.392
35020,28001, ,Adams MS,"Natchez, MS-LA (Micro)",32297,0.608
35060,22069, ,Natchitoches Parish LA,"Natchitoches, LA (Micro)",39566,1
35100,37049, ,Craven NC,"New Bern, NC (Metro)",103505,0.816
35100,37103, ,Jones NC,"New Bern, NC (Metro)",10153,0.08
35100,37137, ,Pamlico NC,"New Bern, NC (Metro)",13144,0.104
35140,45071, ,Newberry SC,"Newberry, SC (Micro)",37508,1
35220,18065, ,Henry IN,"New Castle, IN (Micro)",49462,1
35260,42073, ,Lawrence PA,"New Castle, PA (Micro)",91108,1
35300,9009, ,New Haven CT,"New Haven-Milford, CT (Metro)",862477,1
35380,22051, ,Jefferson Parish LA,"New Orleans-Metairie, LA (Metro)",432552,0.364
35380,22071, ,Orleans Parish LA,"New Orleans-Metairie, LA (Metro)",343829,0.289
35380,22075, ,Plaquemines Parish LA,"New Orleans-Metairie, LA (Metro)",23042,0.019
35380,22087, ,St. Bernard Parish LA,"New Orleans-Metairie, LA (Metro)",35897,0.03
35380,22089, ,St. Charles Parish LA,"New Orleans-Metairie, LA (Metro)",52780,0.044
35380,22093, ,St. James Parish LA,"New Orleans-Metairie, LA (Metro)",22102,0.019
35380,22095, ,St. John the Baptist Parish LA,"New Orleans-Metairie, LA (Metro)",45924,0.039
35380,22103, ,St. Tammany Parish LA,"New Orleans-Metairie, LA (Metro)",233740,0.196
35420,39157, ,Tuscarawas OH,"New Philadelphia-Dover, OH (Micro)",92582,1
35440,41041, ,Lincoln OR,"Newport, OR (Micro)",46034,1
35460,47029, ,Cocke TN,"Newport, TN (Micro)",35662,1
35500,19099, ,Jasper IA,"Newton, IA (Micro)",36842,1
35580,27015, ,Brown MN,"New Ulm, MN (Micro)",25893,1
35620,34003, ,Bergen NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",905116,0.046
35620,34013, ,Essex NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",783969,0.04
35620,34017, ,Hudson NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",634266,0.032
35620,34019, ,Hunterdon NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",128349,0.007
35620,34023, ,Middlesex NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",809858,0.041
35620,34025, ,Monmouth NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",630380,0.032
35620,34027, ,Morris NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",492276,0.025
35620,34029, ,Ocean NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",576567,0.029
35620,34031, ,Passaic NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",501226,0.026
35620,34035, ,Somerset NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",323444,0.017
35620,34037, ,Sussex NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",149265,0.008
35620,34039, ,Union NJ,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",536499,0.027
35620,36005, ,Bronx NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",1385108,0.071
35620,36027, ,Dutchess NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",297488,0.015
35620,36047, ,Kings NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",2504700,0.128
35620,36059, ,Nassau NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",1339532,0.068
35620,36061, ,New York NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",1585873,0.081
35620,36071, ,Orange NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",372813,0.019
35620,36079, ,Putnam NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",99710,0.005
35620,36081, ,Queens NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",2230722,0.114
35620,36085, ,Richmond NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",468730,0.024
35620,36087, ,Rockland NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",311687,0.016
35620,36103, ,Suffolk NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",1493350,0.076
35620,36119, ,Westchester NY,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",949113,0.049
35620,42103, ,Pike PA,"New York-Newark-Jersey City, NY-NJ-PA (Metro)",57369,0.003
35660,26021, ,Berrien MI,"Niles-Benton Harbor, MI (Metro)",156813,1
35700,4023, ,Santa Cruz AZ,"Nogales, AZ (Micro)",47420,1
35740,31119, ,Madison NE,"Norfolk, NE (Micro)",34876,0.723
35740,31139, ,Pierce NE,"Norfolk, NE (Micro)",7266,0.151
35740,31167, ,Stanton NE,"Norfolk, NE (Micro)",6129,0.127
35820,31111, ,Lincoln NE,"North Platte, NE (Micro)",36288,0.965
35820,31113, ,Logan NE,"North Platte, NE (Micro)",763,0.02
35820,31117, ,McPherson NE,"North Platte, NE (Micro)",539,0.014
35840,12081, ,Manatee FL,"North Port-Sarasota-Bradenton, FL (Metro)",322833,0.46
35840,12115, ,Sarasota FL,"North Port-Sarasota-Bradenton, FL (Metro)",379448,0.54
35860,18079, ,Jennings IN,"North Vernon, IN (Micro)",28525,1
35900,37193, ,Wilkes NC,"North Wilkesboro, NC (Micro)",69340,1
35940,39077, ,Huron OH,"Norwalk, OH (Micro)",59626,1
35980,9011, ,New London CT,"Norwich-New London, CT (Metro)",274055,1
36020,53029, ,Island WA,"Oak Harbor, WA (Micro)",78506,1
36100,12083, ,Marion FL,"Ocala, FL (Metro)",331298,1
36140,34009, ,Cape May NJ,"Ocean City, NJ (Metro)",97265,1
36220,48135, ,Ector TX,"Odessa, TX (Metro)",137130,1
36260,49003, ,Box Elder UT,"Ogden-Clearfield, UT (Metro)",49975,0.084
36260,49011, ,Davis UT,"Ogden-Clearfield, UT (Metro)",306479,0.513
36260,49029, ,Morgan UT,"Ogden-Clearfield, UT (Metro)",9469,0.016
36260,49057, ,Weber UT,"Ogden-Clearfield, UT (Metro)",231236,0.387
36300,36089, ,St. Lawrence NY,"Ogdensburg-Massena, NY (Micro)",111944,1
36340,42121, ,Venango PA,"Oil City, PA (Micro)",54984,1
36380,12093, ,Okeechobee FL,"Okeechobee, FL (Micro)",39996,1
36420,40017, ,Canadian OK,"Oklahoma City, OK (Metro)",115541,0.092
36420,40027, ,Cleveland OK,"Oklahoma City, OK (Metro)",255755,0.204
36420,40051, ,Grady OK,"Oklahoma City, OK (Metro)",52431,0.042
36420,40081, ,Lincoln OK,"Oklahoma City, OK (Metro)",34273,0.027
36420,40083, ,Logan OK,"Oklahoma City, OK (Metro)",41848,0.033
36420,40087, ,McClain OK,"Oklahoma City, OK (Metro)",34506,0.028
36420,40109, ,Oklahoma OK,"Oklahoma City, OK (Metro)",718633,0.574
36460,36009, ,Cattaraugus NY,"Olean, NY (Micro)",80317,1
36500,53067, ,Thurston WA,"Olympia-Tumwater, WA (Metro)",252264,1
36540,19085, ,Harrison IA,"Omaha-Council Bluffs, NE-IA (Metro)",14928,0.017
36540,19129, ,Mills IA,"Omaha-Council Bluffs, NE-IA (Metro)",15059,0.017
36540,19155, ,Pottawattamie IA,"Omaha-Council Bluffs, NE-IA (Metro)",93158,0.108
36540,31025, ,Cass NE,"Omaha-Council Bluffs, NE-IA (Metro)",25241,0.029
36540,31055, ,Douglas NE,"Omaha-Council Bluffs, NE-IA (Metro)",517110,0.598
36540,31153, ,Sarpy NE,"Omaha-Council Bluffs, NE-IA (Metro)",158840,0.184
36540,31155, ,Saunders NE,"Omaha-Council Bluffs, NE-IA (Metro)",20780,0.024
36540,31177, ,Washington NE,"Omaha-Council Bluffs, NE-IA (Metro)",20234,0.023
36580,36077, ,Otsego NY,"Oneonta, NY (Micro)",62259,1
36620,16075, ,Payette ID,"Ontario, OR-ID (Micro)",22623,0.419
36620,41045, ,Malheur OR,"Ontario, OR-ID (Micro)",31313,0.581
36660,22097, ,St. Landry Parish LA,"Opelousas, LA (Micro)",83384,1
36700,45075, ,Orangeburg SC,"Orangeburg, SC (Micro)",92501,1
36740,12069, ,Lake FL,"Orlando-Kissimmee-Sanford, FL (Metro)",297052,0.139
36740,12095, ,Orange FL,"Orlando-Kissimmee-Sanford, FL (Metro)",1145956,0.537
36740,12097, ,Osceola FL,"Orlando-Kissimmee-Sanford, FL (Metro)",268685,0.126
36740,12117, ,Seminole FL,"Orlando-Kissimmee-Sanford, FL (Metro)",422718,0.198
36780,55139, ,Winnebago WI,"Oshkosh-Neenah, WI (Metro)",166994,1
36820,19123, ,Mahaska IA,"Oskaloosa, IA (Micro)",22381,1
36830,53001, ,Adams WA,"Othello, WA (Micro)",18728,1
36840,20059, ,Franklin KS,"Ottawa, KS (Micro)",25992,1
36860,17011, ,Bureau IL,"Ottawa-Peru, IL (Micro)",34978,0.226
36860,17099, ,La Salle IL,"Ottawa-Peru, IL (Micro)",113924,0.735
36860,17155, ,Putnam IL,"Ottawa-Peru, IL (Micro)",6006,0.039
36900,19051, ,Davis IA,"Ottumwa, IA (Micro)",8753,0.197
36900,19179, ,Wapello IA,"Ottumwa, IA (Micro)",35625,0.803
36940,27147, ,Steele MN,"Owatonna, MN (Micro)",36576,1
36980,21059, ,Daviess KY,"Owensboro, KY (Metro)",96656,0.842
36980,21091, ,Hancock KY,"Owensboro, KY (Metro)",8565,0.075
36980,21149, ,McLean KY,"Owensboro, KY (Metro)",9531,0.083
37020,26155, ,Shiawassee MI,"Owosso, MI (Micro)",70648,1
37060,28071, ,Lafayette MS,"Oxford, MS (Micro)",47351,1
37080,37077, ,Granville NC,"Oxford, NC (Micro)",59916,1
37100,6111, ,Ventura CA,"Oxnard-Thousand Oaks-Ventura, CA (Metro)",823318,1
37120,1045, ,Dale AL,"Ozark, AL (Micro)",50251,1
37140,17127, ,Massac IL,"Paducah, KY-IL (Micro)",15429,0.156
37140,21007, ,Ballard KY,"Paducah, KY-IL (Micro)",8249,0.084
37140,21139, ,Livingston KY,"Paducah, KY-IL (Micro)",9519,0.096
37140,21145, ,McCracken KY,"Paducah, KY-IL (Micro)",65565,0.664
37220,32023, ,Nye NV,"Pahrump, NV (Micro)",43946,1
37260,12107, ,Putnam FL,"Palatka, FL (Micro)",74364,1
37300,48001, ,Anderson TX,"Palestine, TX (Micro)",58458,1
37340,12009, ,Brevard FL,"Palm Bay-Melbourne-Titusville, FL (Metro)",543376,1
37420,48179, ,Gray TX,"Pampa, TX (Micro)",22535,1
37460,12005, ,Bay FL,"Panama City, FL (Metro)",168852,0.914
37460,12045, ,Gulf FL,"Panama City, FL (Metro)",15863,0.086
37500,5055, ,Greene AR,"Paragould, AR (Micro)",42090,1
37540,47079, ,Henry TN,"Paris, TN (Micro)",32330,1
37580,48277, ,Lamar TX,"Paris, TX (Micro)",49793,1
37620,54105, ,Wirt WV,"Parkersburg-Vienna, WV (Metro)",5717,0.062
37620,54107, ,Wood WV,"Parkersburg-Vienna, WV (Metro)",86956,0.938
37660,20099, ,Labette KS,"Parsons, KS (Micro)",21607,1
37740,4007, ,Gila AZ,"Payson, AZ (Micro)",53597,1
37780,48389, ,Reeves TX,"Pecos, TX (Micro)",13783,1
37800,19125, ,Marion IA,"Pella, IA (Micro)",33309,1
37860,12033, ,Escambia FL,"Pensacola-Ferry Pass-Brent, FL (Metro)",297619,0.663
37860,12113, ,Santa Rosa FL,"Pensacola-Ferry Pass-Brent, FL (Metro)",151372,0.337
37900,17123, ,Marshall IL,"Peoria, IL (Metro)",12640,0.033
37900,17143, ,Peoria IL,"Peoria, IL (Metro)",186494,0.492
37900,17175, ,Stark IL,"Peoria, IL (Metro)",5994,0.016
37900,17179, ,Tazewell IL,"Peoria, IL (Metro)",135394,0.357
37900,17203, ,Woodford IL,"Peoria, IL (Metro)",38664,0.102
37940,18103, ,Miami IN,"Peru, IN (Micro)",36903,1
37980,10003, ,New Castle DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",538479,0.09
37980,24015, ,Cecil MD,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",101108,0.017
37980,34005, ,Burlington NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",448734,0.075
37980,34007, ,Camden NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",513657,0.086
37980,34015, ,Gloucester NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",288288,0.048
37980,34033, ,Salem NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",66083,0.011
37980,42017, ,Bucks PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",625249,0.105
37980,42029, ,Chester PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",498886,0.084
37980,42045, ,Delaware PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",558979,0.094
37980,42091, ,Montgomery PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",799874,0.134
