cbsa,county14,county,cntyname2,cbsaname15,pop10,afact
17900,45081, ,Saluda SC,"Columbia, SC (Metro)",19875,0.026
17980,1113, ,Russell AL,"Columbus, GA-AL (Metro)",52947,0.18
17980,13053, ,Chattahoochee GA,"Columbus, GA-AL (Metro)",11267,0.038
17980,13145, ,Harris GA,"Columbus, GA-AL (Metro)",32024,0.109
17980,13197, ,Marion GA,"Columbus, GA-AL (Metro)",8742,0.03
17980,13215, ,Muscogee GA,"Columbus, GA-AL (Metro)",189885,0.644
18020,18005, ,Bartholomew IN,"Columbus, IN (Metro)",76794,1
18060,28087, ,Lowndes MS,"Columbus, MS (Micro)",59779,1
18100,31141, ,Platte NE,"Columbus, NE (Micro)",32237,1
18140,39041, ,Delaware OH,"Columbus, OH (Metro)",174214,0.092
18140,39045, ,Fairfield OH,"Columbus, OH (Metro)",146156,0.077
18140,39049, ,Franklin OH,"Columbus, OH (Metro)",1163414,0.612
18140,39073, ,Hocking OH,"Columbus, OH (Metro)",29380,0.015
18140,39089, ,Licking OH,"Columbus, OH (Metro)",166492,0.088
18140,39097, ,Madison OH,"Columbus, OH (Metro)",43435,0.023
18140,39117, ,Morrow OH,"Columbus, OH (Metro)",34827,0.018
18140,39127, ,Perry OH,"Columbus, OH (Metro)",36058,0.019
18140,39129, ,Pickaway OH,"Columbus, OH (Metro)",55698,0.029
18140,39159, ,Union OH,"Columbus, OH (Metro)",52300,0.027
18180,33013, ,Merrimack NH,"Concord, NH (Micro)",146445,1
18220,18041, ,Fayette IN,"Connersville, IN (Micro)",24277,1
18260,47087, ,Jackson TN,"Cookeville, TN (Micro)",11638,0.11
18260,47133, ,Overton TN,"Cookeville, TN (Micro)",22083,0.208
18260,47141, ,Putnam TN,"Cookeville, TN (Micro)",72321,0.682
18300,41011, ,Coos OR,"Coos Bay, OR (Micro)",63043,1
18380,13081, ,Crisp GA,"Cordele, GA (Micro)",23439,1
18420,28003, ,Alcorn MS,"Corinth, MS (Micro)",37057,1
18460,13137, ,Habersham GA,"Cornelia, GA (Micro)",43041,1
18500,36101, ,Steuben NY,"Corning, NY (Micro)",98990,1
18580,48007, ,Aransas TX,"Corpus Christi, TX (Metro)",23158,0.054
18580,48355, ,Nueces TX,"Corpus Christi, TX (Metro)",340223,0.795
18580,48409, ,San Patricio TX,"Corpus Christi, TX (Metro)",64804,0.151
18620,48349, ,Navarro TX,"Corsicana, TX (Micro)",47735,1
18660,36023, ,Cortland NY,"Cortland, NY (Micro)",49336,1
18700,41003, ,Benton OR,"Corvallis, OR (Metro)",85579,1
18740,39031, ,Coshocton OH,"Coshocton, OH (Micro)",36901,1
18780,8081, ,Moffat CO,"Craig, CO (Micro)",13795,1
18820,18107, ,Montgomery IN,"Crawfordsville, IN (Micro)",38124,1
18860,6015, ,Del Norte CA,"Crescent City, CA (Micro)",28610,1
18880,12091, ,Okaloosa FL,"Crestview-Fort Walton Beach-Destin, FL (Metro)",180822,0.767
18880,12131, ,Walton FL,"Crestview-Fort Walton Beach-Destin, FL (Metro)",55043,0.233
18900,47035, ,Cumberland TN,"Crossville, TN (Micro)",56053,1
18980,1043, ,Cullman AL,"Cullman, AL (Micro)",80406,1
19000,37099, ,Jackson NC,"Cullowhee, NC (Micro)",40271,1
19060,24001, ,Allegany MD,"Cumberland, MD-WV (Metro)",75087,0.727
19060,54057, ,Mineral WV,"Cumberland, MD-WV (Metro)",28212,0.273
19100,48085, ,Collin TX,"Dallas-Fort Worth-Arlington, TX (Metro)",782341,0.122
19100,48113, ,Dallas TX,"Dallas-Fort Worth-Arlington, TX (Metro)",2368139,0.369
19100,48121, ,Denton TX,"Dallas-Fort Worth-Arlington, TX (Metro)",662614,0.103
19100,48139, ,Ellis TX,"Dallas-Fort Worth-Arlington, TX (Metro)",149610,0.023
19100,48221, ,Hood TX,"Dallas-Fort Worth-Arlington, TX (Metro)",51182,0.008
19100,48231, ,Hunt TX,"Dallas-Fort Worth-Arlington, TX (Metro)",86129,0.013
19100,48251, ,Johnson TX,"Dallas-Fort Worth-Arlington, TX (Metro)",150934,0.023
19100,48257, ,Kaufman TX,"Dallas-Fort Worth-Arlington, TX (Metro)",103350,0.016
19100,48367, ,Parker TX,"Dallas-Fort Worth-Arlington, TX (Metro)",116927,0.018
19100,48397, ,Rockwall TX,"Dallas-Fort Worth-Arlington, TX (Metro)",78337,0.012
19100,48425, ,Somervell TX,"Dallas-Fort Worth-Arlington, TX (Metro)",8490,0.001
19100,48439, ,Tarrant TX,"Dallas-Fort Worth-Arlington, TX (Metro)",1809034,0.282
19100,48497, ,Wise TX,"Dallas-Fort Worth-Arlington, TX (Metro)",59127,0.009
19140,13213, ,Murray GA,"Dalton, GA (Metro)",39628,0.279
19140,13313, ,Whitfield GA,"Dalton, GA (Metro)",102599,0.721
19180,17183, ,Vermilion IL,"Danville, IL (Metro)",81625,1
19220,21021, ,Boyle KY,"Danville, KY (Micro)",28432,0.535
19220,21137, ,Lincoln KY,"Danville, KY (Micro)",24742,0.465
19260,51143, ,Pittsylvania VA,"Danville, VA (Micro)",63506,0.596
19260,51590, ,Danville city VA,"Danville, VA (Micro)",43055,0.404
19300,1003, ,Baldwin AL,"Daphne-Fairhope-Foley, AL (Metro)",182265,1
19340,17073, ,Henry IL,"Davenport-Moline-Rock Island, IA-IL (Metro)",50486,0.133
19340,17131, ,Mercer IL,"Davenport-Moline-Rock Island, IA-IL (Metro)",16434,0.043
19340,17161, ,Rock Island IL,"Davenport-Moline-Rock Island, IA-IL (Metro)",147546,0.389
19340,19163, ,Scott IA,"Davenport-Moline-Rock Island, IA-IL (Metro)",165224,0.435
19380,39057, ,Greene OH,"Dayton, OH (Metro)",161573,0.202
19380,39109, ,Miami OH,"Dayton, OH (Metro)",102506,0.128
19380,39113, ,Montgomery OH,"Dayton, OH (Metro)",535153,0.67
19420,47143, ,Rhea TN,"Dayton, TN (Micro)",31809,1
19460,1079, ,Lawrence AL,"Decatur, AL (Metro)",34339,0.223
19460,1103, ,Morgan AL,"Decatur, AL (Metro)",119490,0.777
19500,17115, ,Macon IL,"Decatur, IL (Metro)",110768,1
19540,18001, ,Adams IN,"Decatur, IN (Micro)",34387,1
19580,39039, ,Defiance OH,"Defiance, OH (Micro)",39037,1
19620,48465, ,Val Verde TX,"Del Rio, TX (Micro)",48879,1
19660,12035, ,Flagler FL,"Deltona-Daytona Beach-Ormond Beach, FL (Metro)",95696,0.162
19660,12127, ,Volusia FL,"Deltona-Daytona Beach-Ormond Beach, FL (Metro)",494593,0.838
19700,35029, ,Luna NM,"Deming, NM (Micro)",25095,1
19740,8001, ,Adams CO,"Denver-Aurora-Lakewood, CO (Metro)",441603,0.174
19740,8005, ,Arapahoe CO,"Denver-Aurora-Lakewood, CO (Metro)",572003,0.225
19740,8014, ,Broomfield CO,"Denver-Aurora-Lakewood, CO (Metro)",55889,0.022
19740,8019, ,Clear Creek CO,"Denver-Aurora-Lakewood, CO (Metro)",9088,0.004
19740,8031, ,Denver CO,"Denver-Aurora-Lakewood, CO (Metro)",600158,0.236
19740,8035, ,Douglas CO,"Denver-Aurora-Lakewood, CO (Metro)",285465,0.112
19740,8039, ,Elbert CO,"Denver-Aurora-Lakewood, CO (Metro)",23086,0.009
19740,8047, ,Gilpin CO,"Denver-Aurora-Lakewood, CO (Metro)",5441,0.002
19740,8059, ,Jefferson CO,"Denver-Aurora-Lakewood, CO (Metro)",534543,0.21
19740,8093, ,Park CO,"Denver-Aurora-Lakewood, CO (Metro)",16206,0.006
19760,22011, ,Beauregard Parish LA,"DeRidder, LA (Micro)",35654,1
19780,19049, ,Dallas IA,"Des Moines-West Des Moines, IA (Metro)",66135,0.116
19780,19077, ,Guthrie IA,"Des Moines-West Des Moines, IA (Metro)",10954,0.019
19780,19121, ,Madison IA,"Des Moines-West Des Moines, IA (Metro)",15679,0.028
19780,19153, ,Polk IA,"Des Moines-West Des Moines, IA (Metro)",430640,0.756
19780,19181, ,Warren IA,"Des Moines-West Des Moines, IA (Metro)",46225,0.081
19820,26087, ,Lapeer MI,"Detroit-Warren-Dearborn, MI (Metro)",88319,0.021
19820,26093, ,Livingston MI,"Detroit-Warren-Dearborn, MI (Metro)",180967,0.042
