STATE,LOGRECNO,GEOID,Name
US,0040850,86000US91765,ZCTA5 91765
US,0040851,86000US91766,ZCTA5 91766
US,0040852,86000US91767,ZCTA5 91767
US,0040853,86000US91768,ZCTA5 91768
US,0040854,86000US91770,ZCTA5 91770
US,0040855,86000US91773,ZCTA5 91773
US,0040856,86000US91775,ZCTA5 91775
US,0040857,86000US91776,ZCTA5 91776
US,0040858,86000US91780,ZCTA5 91780
US,0040859,86000US91784,ZCTA5 91784
US,0040860,86000US91786,ZCTA5 91786
US,0040861,86000US91789,ZCTA5 91789
US,0040862,86000US91790,ZCTA5 91790
US,0040863,86000US91791,ZCTA5 91791
US,0040864,86000US91792,ZCTA5 91792
US,0040865,86000US91801,ZCTA5 91801
US,0040866,86000US91803,ZCTA5 91803
US,0040867,86000US91901,ZCTA5 91901
US,0040868,86000US91902,ZCTA5 91902
US,0040869,86000US91905,ZCTA5 91905
US,0040870,86000US91906,ZCTA5 91906
US,0040871,86000US91910,ZCTA5 91910
US,0040872,86000US91911,ZCTA5 91911
US,0040873,86000US91913,ZCTA5 91913
US,0040874,86000US91914,ZCTA5 91914
US,0040875,86000US91915,ZCTA5 91915
US,0040876,86000US91916,ZCTA5 91916
US,0040877,86000US91917,ZCTA5 91917
US,0040878,86000US91931,ZCTA5 91931
US,0040879,86000US91932,ZCTA5 91932
US,0040880,86000US91934,ZCTA5 91934
US,0040881,86000US91935,ZCTA5 91935
US,0040882,86000US91941,ZCTA5 91941
US,0040883,86000US91942,ZCTA5 91942
US,0040884,86000US91945,ZCTA5 91945
US,0040885,86000US91948,ZCTA5 91948
US,0040886,86000US91950,ZCTA5 91950
US,0040887,86000US91962,ZCTA5 91962
US,0040888,86000US91963,ZCTA5 91963
US,0040889,86000US91977,ZCTA5 91977
US,0040890,86000US91978,ZCTA5 91978
US,0040891,86000US91980,ZCTA5 91980
US,0040892,86000US92003,ZCTA5 92003
US,0040893,86000US92004,ZCTA5 92004
US,0040894,86000US92007,ZCTA5 92007
US,0040895,86000US92008,ZCTA5 92008
US,0040896,86000US92009,ZCTA5 92009
US,0040897,86000US92010,ZCTA5 92010
US,0040898,86000US92011,ZCTA5 92011
US,0040899,86000US92014,ZCTA5 92014
US,0040900,86000US92019,ZCTA5 92019
US,0040901,86000US92020,ZCTA5 92020
US,0040902,86000US92021,ZCTA5 92021
US,0040903,86000US92024,ZCTA5 92024
US,0040904,86000US92025,ZCTA5 92025
US,0040905,86000US92026,ZCTA5 92026
US,0040906,86000US92027,ZCTA5 92027
US,0040907,86000US92028,ZCTA5 92028
US,0040908,86000US92029,ZCTA5 92029
US,0040909,86000US92036,ZCTA5 92036
